POI,이름,총 리뷰수,평균평점,주소,경도,위도,링크,거리
POI18,그옛맛,166,4.06,제주특별자치도 제주시 삼도1동 567-10,126.5185644,33.49850497,http://place.map.kakao.com/8205491,2.903989231
POI18,좀녀마을뚝배기,174,4.05,제주특별자치도 제주시 연동 303-45,126.4959014,33.48730723,http://place.map.kakao.com/9449104,1.027649793
POI18,연우네,481,4.02,제주특별자치도 제주시 노형동 139-3,126.487621,33.46675841,http://place.map.kakao.com/25929180,2.909752734
POI18,임성반점,383,4.01,제주특별자치도 제주시 용담이동 622-1,126.5097492,33.50947883,http://place.map.kakao.com/9402213,2.216074845
POI18,미풍해장국 신제주점,600,4.01,제주특별자치도 제주시 연동 304-38,126.4969449,33.48548664,http://place.map.kakao.com/8320316,1.228372509
POI18,제주김만복,1020,4.01,제주특별자치도 제주시 오라삼동 2250-1,126.5089219,33.4970354,http://place.map.kakao.com/1046180098,1.831290399
POI18,이화원,325,4.01,제주특별자치도 제주시 노형동 2578-2,126.4740573,33.48969222,http://place.map.kakao.com/8051596,2.173382509
POI18,프롬더럭,137,4.00,제주특별자치도 제주시 노형동 3786-1,126.4784009,33.48380876,http://place.map.kakao.com/1262458834,2.019243507
POI19,엄블랑,245,4.36,제주특별자치도 제주시 한경면 고산리 1727,126.1950493,33.29743128,http://place.map.kakao.com/26847400,2.665893984
POI19,만덕식당,110,4.33,제주특별자치도 제주시 한경면 고산리 3592-1,126.1654861,33.30891643,http://place.map.kakao.com/8964063,2.686622927
POI19,클랭블루,421,4.19,제주특별자치도 제주시 한경면 신창리 1293-1,126.1773011,33.34487229,http://place.map.kakao.com/1313144249,2.167893265
POI19,별돈별 제주,192,4.16,제주특별자치도 제주시 한경면 고산리 2471,126.1801669,33.30866164,http://place.map.kakao.com/1445399366,1.572699892
POI20,제레미 제주,259,4.45,제주특별자치도 제주시 애월읍 애월리 1549,126.3185544,33.46460907,http://place.map.kakao.com/1170785054,1.147004237
